Municipio_ocurrencia,COD_MUN_O,anos_con_casos,casos_acumulados
CHIRIGUANA,178,18,1243
PUERTO LEGUIZAMO,573,18,1243
SAN MARTIN,770,13,1225
CARMEN DE APICALA,148,18,1213
GIGANTE,306,18,1211
MANI,139,18,1207
ROBLES (LA PAZ),621,18,1205
ARIGUANI (EL DIFICIL),058,18,1203
TIQUISIO (PUERTO RICO),810,18,1203
NECHI,495,16,1199
PAILITAS,517,17,1198
SEGOVIA,736,17,1193
EL PLAYON,255,18,1193
SANTA ROSA DE CABAL,682,17,1187
PLATO,555,17,1181
MIRANDA,455,16,1181
GUADALUPE,319,18,1175
PUERTO SALGAR,572,18,1174
MALAGA,432,18,1171
GUADUAS,320,18,1162
CHINU,182,18,1159
BOSCONIA,060,18,1143
CORDOBA,212,18,1138
YOTOCO,890,17,1125
LEJANIAS,400,18,1121
PUERTO TEJADA,573,17,1117
PLANADAS,555,18,1115
SUAZA,770,18,1108
PUERTO CAICEDO,569,18,1100
TESALIA,797,18,1099
FLORENCIA,290,12,1098
VIOTA,878,18,1096
GIRARDOTA,308,16,1089
EL CARMEN,245,18,1088
EL RETORNO,025,18,1061
LA ESTRELLA,380,17,1058
SINCE,742,18,1055
BUGALAGRANDE,113,17,1052
AGUA DE DIOS,001,18,1044
OLAYA HERRERA(BOCAS DE SATINGA,490,14,1044
RIOFRIO,616,18,1034
PELAYA,550,18,1006
PUERTO RICO,590,14,1002
DARIEN,126,18,988
VENADILLO,861,17,975
NATAGAIMA,483,18,969
AMAGA,030,16,967
SANTO TOMAS,685,18,958
OIBA,500,17,945
* ANTIOQUIA. MUNICIPIO DESCONOCIDO,000,13,936
MANAURE BALCON DEL CESAR,443,18,931
CHINACOTA,172,18,930
MITU,001,17,930
PATIA (EL BORDO),532,18,928
CONVENCION,206,18,926
ALCALA,020,18,925
TRINIDAD,430,18,924
ANDALUCIA,036,16,924
COVEÑAS,221,18,918
CUMARIBO,773,18,916
BARRANCAS,078,17,912
CUBARRAL,223,18,912
HOBO,349,18,910
SAN JACINTO,654,15,908
PUERTO CONCORDIA,450,18,901
LURUACO,421,18,898
* PROCEDENCIA DESCONOCIDA,000,11,889
CORINTO,212,17,888
CIENAGA DE ORO,189,18,882
SABANETA,631,17,875
TOLUVIEJO,823,18,874
SUAITA,770,16,874
PUEBLO BELLO,570,18,863
LOS SANTOS,418,18,853
EL CASTILLO,251,18,852
RIOBLANCO,616,18,852
BOLIVAR,101,16,847
MUZO,480,16,847
BARRANCA DE UPIA,110,18,846
RICAURTE,612,18,842
ZARAGOZA,895,17,842
PORE,263,18,841
EL CARMEN DE CHUCURI,235,18,837
MESETAS,330,17,836
MANAURE,560,18,833
SAN PELAYO,686,17,832
LOS PALMITOS,418,18,821
ASTREA,032,16,811
REMEDIOS,604,18,805
TORO,823,17,804
ACEVEDO,006,18,800
LA MACARENA,350,17,798
GUAPI,318,17,797
EL BANCO,245,18,795
TELLO,799,18,792
TUCHIN,815,16,791
POLO NUEVO,558,17,790
CAPITANEJO,147,18,788
GENOVA,302,14,787
BARRANCO DE LOBA,074,16,785
BOLIVAR,100,14,783
COELLO,200,18,776
CHARALA,167,16,771
SOATA,753,15,771
SAN ANDRES SOTAVENTO,670,18,769
CHIMICHAGUA,175,18,761
TAMINANGO,786,15,759
PUERTO WILCHES,575,18,751
SAN SEBASTIAN DE BUENAVISTA,692,16,747
ARBOLETES,051,17,746
ARACATACA,053,16,743
PALMAR DE VARELA,520,18,743
* CUNDINAMARCA. MUNICIPIO DESCONOCIDO,000,13,733
SAN JUAN DE URABA,659,17,729
SAN PEDRO,670,17,717
CACHIPAY,123,17,715
PIEDRAS,547,18,712
SAN PEDRO DE URABA,665,18,711
EL CHARCO,250,16,709
LA GLORIA,383,18,707
SUPIA,777,15,706
YAGUARA,885,18,698
AYAPEL,068,17,698
ZONA BANANERA,980,18,698
EL PASO,250,17,695
SABANAGRANDE,634,18,695
BECERRIL,045,18,694
TEORAMA,800,17,689
SAN JUAN DE ARAMA,683,18,687
SAN JERONIMO,656,15,684
MONTECRISTO,458,18,681
PITAL,548,18,679
MEDINA,438,18,678
* TOLIMA. MUNICIPIO DESCONOCIDO,000,13,676
TERUEL,801,18,670
SAN DIEGO,750,18,668
OTANCHE,507,15,665
PONEDERA,560,18,664
VITERBO,877,16,661
SASAIMA,718,18,654
RAFAEL REYES (APULO),599,17,654
FONSECA,279,18,650
PARATEBUENO,530,18,648
SANTA ANA,707,17,647
SAN PABLO DE BORBUR,681,12,640
LANDAZURI,385,17,639
SAN MARTIN DE LOBA,667,15,638
CHIVOLO,170,14,624
DIBULLA,090,17,623
FALAN,270,18,614
SAN PEDRO,717,18,613
CACERES,120,17,609
TARAZA,790,18,608
PUERTO LLERAS,577,18,608
SALAMINA,653,11,605
AGRADO,013,18,604
SAN ONOFRE,713,18,604
EL COPEY,238,18,598
SAN ANTERO,672,17,596
SOLANO,756,17,593
IQUIRA,357,18,593
SILVANIA,743,16,590
PIVIJAY,551,18,589
NUEVA GRANADA,460,13,587
SAN LUIS DE PALENQUE,325,18,585
SARDINATA,720,18,584
VERGARA,862,14,579
SIMACOTA,745,18,575
CURILLO,205,18,574
SANTA ROSA,683,18,573
HATONUEVO,378,18,572
SANTANA,686,14,567
MORROA,473,18,565
OBANDO,497,17,562
YOLOMBO,890,18,560
CABUYARO,124,17,557
PALESTINA,524,18,557
GAMARRA,295,18,556
EL TARRA,250,17,555
EL DONCELLO,247,14,553
SAN JUAN DE BETULIA,702,18,553
PUERTO ESCONDIDO,574,17,553
TURBANA,838,15,553
BARAYA,078,18,552
LA PINTADA,390,17,551
YONDO (CASABE),893,18,549
CALAMAR,015,18,547
JUAN DE ACOSTA,372,18,543
BARICHARA,079,18,543
TUBARA,832,18,543
NUNCHIA,225,18,542
LA PALMA,394,18,534
MORALES,473,18,526
UTICA,851,17,523
OROCUE,230,18,523
ICONONZO,352,18,520
PIAMONTE,533,16,519
SAN FRANCISCO,658,12,515
PRADO,563,18,513
GUARANDA,265,18,512
BOCHALEMA,099,18,510
HATO COROZAL,125,18,506
MARMATO,442,16,503
ACHI,006,18,500
CALDAS,129,13,498
USIACURI,849,18,497
VILLANUEVA,873,17,497
ANOLAIMA,040,15,496
PINILLOS,549,17,495
MARIA LA BAJA,442,14,494
EL DORADO,270,18,493
SANTA BARBARA,679,14,493
PAEZ,517,12,491
RIO DE ORO,614,18,491
ALBANIA,029,16,489
VILLANUEVA,872,18,489
* ATLANTICO. MUNICIPIO DESCONOCIDO,000,13,485
PUERTO SANTANDER,553,18,484
YACOPI,885,17,481
MOÑITOS,500,16,480
SAN JUAN DE RIO SECO,662,18,480
SANTUARIO,687,16,478
ARBELAEZ,053,14,474
ALBANIA,035,14,474
LA CELIA,383,13,473
SALADOBLANCO,660,17,471
ANDES,034,12,468
COLOMBIA,206,17,467
CARTAGENA DEL CHAIRA,150,18,465
* CALDAS. MUNICIPIO DESCONOCIDO,000,10,463
SAN PABLO,670,18,460
MANATI,436,17,459
VELEZ,861,17,457
SIMITI,744,18,456
OPORAPA,503,17,455
DOLORES,236,15,450
LA VICTORIA,403,13,449
CUBARA,223,16,448
SOPETRAN,761,15,448
EL RETEN,268,14,442
MOSQUERA,473,16,441
CUNDAY,226,18,441
SANTA MARIA,676,17,439
PALOCABILDO,520,17,437
MAPIRIPAN,325,17,436
BALBOA,075,17,434
MERCADERES,450,15,426
LA PRIMAVERA,524,17,425
NOROSÌ,490,15,424
SAN BENITO ABAD,678,18,421
SAN BERNARDO DEL VIENTO,675,16,421
PUENTE NACIONAL,572,17,420
SUAREZ,770,18,420
TAMALAMEQUE,787,15,417
NOCAIMA,491,17,417
TENA,797,16,417
LA URIBE,370,18,415
NORCASIA,495,15,414
TENERIFE,798,14,407
MANIZALES,001,16,403
SAN JOSE DEL FRAGUA,610,14,402
ACANDI,006,15,399
PALMITO,523,18,396
ARENAL,042,16,390
LA ESPERANZA,385,18,390
ARGELIA,050,14,389
ELIAS,244,15,388
VALLE DE SAN JUAN,854,18,386
VALPARAISO,856,14,383
SUAN,770,17,381
CISNEROS,190,17,379
CONTRATACION,211,17,379
MARSELLA,440,15,377
SAN CAYETANO,673,18,377
LA PEÑA,398,18,376
MAHATES,433,17,375
EL PAUJIL,256,15,374
PURISIMA,586,16,374
MAJAGUAL,429,18,373
CANALETE,090,17,372
MIRAFLORES,200,12,369
COTORRA,300,14,367
RIO VIEJO,600,18,366
MUTATA,480,16,365
VILLARICA,845,18,359
CAPARRAPI,148,17,358
NATAGA,483,16,357
SAN LUIS DE GACENO,667,15,354
CURITI,229,18,352
GUACHENÈ,300,14,351
GALERAS (NUEVA GRANADA),235,17,351
SAMANIEGO,678,17,349
PUERTO PARRA,573,16,347
LOS CORDOBAS,419,18,347
REPELON,606,17,346
AMBALEMA,030,18,345
CANDELARIA,141,18,343
MOMIL,464,17,342
BAJO BAUDO (PIZARRO),077,15,342
DABEIBA,234,16,339
PUERTO TRIUNFO,591,18,339
PIJIÑO DEL CARMEN (PIJIÑO),545,15,338
CONDOTO,205,17,335
LIBORINA,411,13,334
SANTA HELENA DEL OPON,720,12,333
SABANAS DE SAN ANGEL,660,14,332
SALAZAR,660,18,329
GARAGOA,299,14,326
PAICOL,518,17,325
BUENOS AIRES,110,14,324
CAMPO DE LA CRUZ,137,15,322
VILLAVIEJA,872,18,321
PUERTO NARIÑO,540,11,319
PAUNA,531,14,318
NIMAIMA,489,15,318
SANTA ROSALIA,624,17,317
CAÑASGORDAS,138,15,316
ANSERMA,042,14,314
ZAPATOCA,895,17,313
SANTA BARBARA DE PINTO,720,14,311
ROBERTO PAYAN (SAN JOSE),621,11,307
ISNOS (SAN JOSE DE ISNOS),359,18,306
EL MOLINO,110,16,306
TITIRIBI,809,12,304
EXTERIOR_BRASIL,076,15,302
SAN ESTANISLAO,647,15,298
NUQUI,495,12,297
* VALLE. MUNICIPIO DESCONOCIDO,000,12,296
SABANALARGA,300,18,296
BARBACOAS,079,15,296
FILADELFIA,272,10,287
MISTRATO,456,16,285
CHIMA,168,15,285
EL DOVIO,250,16,283
SALGAR,642,12,281
BELEN DE LOS ANDAQUIES,094,14,281
TALAIGUA NUEVO,780,14,279
LA ARGENTINA,378,15,279
TOLEDO,820,18,277
PUERTO NARE (LA MAGDALENA ),585,17,276
MACEO,425,17,274
CONCORDIA,209,14,273
ZAMBRANO,894,15,272
SAN CARLOS,678,18,271
FREDONIA,282,14,268
CHITARAQUE,185,15,268
PANDI,524,14,267
PARAMO,533,17,267
QUIPAMA,580,13,266
ALTOS DEL ROSARIO,030,14,265
RISARALDA,616,16,264
RIOSUCIO,614,13,263
CAQUEZA,151,16,263
MIRAFLORES,455,11,263
* META. MUNICIPIO DESCONOCIDO,000,12,262
VERSALLES,863,17,261
EL GUAMO,248,17,260
FRONTINO,284,15,258
ARATOCA,051,16,257
ARBOLEDAS,051,14,255
CICUCO,188,14,254
CRAVO NORTE,220,15,253
URUMITA,855,15,253
HACARI,344,17,252
BUENAVISTA,110,17,251
LA MONTANITA,410,17,250
GUAYABETAL,335,16,249
PINCHOTE,549,17,249
CAJAMARCA,124,17,247
SUCRE,771,16,247
TAMARA,400,18,246
MATANZA,444,17,245
APIA,045,11,244
ARGELIA,054,12,242
PACHO,513,15,240
QUEBRADANEGRA,592,17,239
TARSO,792,15,239
COLOSO (RICAURTE),204,18,237
BELALCAZAR,088,10,234
RIOSUCIO,615,14,234
VEGACHI,858,13,233
VALLE DE SAN JOSE,855,16,233
CANTAGALLO,160,16,233
VALDIVIA,854,17,232
PUEBLO RICO,572,14,231
MEDIO SAN JUAN,450,13,231
* MAGDALENA. MUNICIPIO DESCONOCIDO,000,13,230
CAIMITO,124,18,229
CHALAN,230,16,224
* CAQUETA. MUNICIPIO DESCONOCIDO,000,12,222
AGUADAS,013,16,222
SUAREZ,780,12,222
SOPLAVIENTO,760,14,221
LABRANZAGRANDE,377,10,221
MAGUI (PAYAN),427,11,220
* SANTANDER. MUNICIPIO DESCONOCIDO,000,13,220
MARQUETALIA,444,16,219
SANTA BARBARA (ISCUANDE),696,10,219
VILLARICA,873,16,219
POLICARPA,540,12,214
SAN LUIS,660,11,212
PADILLA,513,17,211
GUADALUPE,320,12,211
* SAN ANDRES Y PROV. MUNICIPIO DESCONOCIDO,000,13,210
MEDIO BAUDO (BOCA DE PEPE),430,16,208
LA CUMBRE,377,12,207
VALPARAISO,860,14,206
TIMBIQUI,809,16,206
GUEPSA,327,13,205
SITIO NUEVO,745,14,202
ITUANGO,361,15,202
SAN ZENON,703,15,201
EL AGUILA,243,14,201
SAN ANDRES,669,10,200
SANTIAGO,680,17,200
EL ROBLE,233,16,200
